HP:0000001	All
HP:0000002	Abnormality of body height
HP:0000002	Synonym('Abnormality of body height', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000003	Multicystic kidney dysplasia
HP:0000003	Synonym('Multicystic dysplastic kidney', scope='EXACT')
HP:0000003	Synonym('Multicystic kidneys', scope='EXACT')
HP:0000003	Synonym('Multicystic renal dysplasia', scope='EXACT')
HP:0000005	Mode of inheritance
HP:0000005	Synonym('Inheritance', scope='EXACT')
HP:0000006	Autosomal dominant inheritance
HP:0000006	Synonym('Autosomal dominant form', scope='RELATED', xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0000006	Synonym('Autosomal dominant type', scope='RELATED', xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0000006	Synonym('monoallelic_autosomal', scope='EXACT', type=SynonymType('HP:0034334', 'allelic_requirement'))
HP:0000006	Synonym('Autosomal dominant', scope='EXACT')
HP:0000007	Autosomal recessive inheritance
HP:0000007	Synonym('Autosomal recessive predisposition', scope='RELATED')
HP:0000007	Synonym('biallelic_autosomal', scope='EXACT', type=SynonymType('HP:0034334', 'allelic_requirement'))
HP:0000007	Synonym('Autosomal recessive', scope='EXACT')
HP:0000007	Synonym('Autosomal recessive form', scope='RELATED', xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0000008	Abnormal morphology of female internal genitalia
HP:0000008	Synonym('Abnormality of female internal genitalia', scope='EXACT')
HP:0000009	Functional abnormality of the bladder
HP:0000009	Synonym('Poor bladder function', scope='EXACT')
HP:0000010	Recurrent urinary tract infections
HP:0000010	Synonym('Repeated urinary tract infections', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000010	Synonym('Frequent urinary tract infections', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000010	Synonym('Urinary tract infections', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000010	Synonym('Urinary tract infections, recurrent', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0000010	Synonym('Repeated bladder infections', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000010	Synonym('Recurrent UTIs', scope='EXACT', type=SynonymType('abbreviation', 'abbreviation'))
HP:0000011	Neurogenic bladder
HP:0000011	Synonym('Lack of bladder control due to nervous system injury', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0000012	Urinary urgency
HP:0000012	Synonym('Urgency frequency syndrome', scope='RELATED')
HP:0000012	Synonym('Urgent micturition', scope='EXACT')
HP:0000012	Synonym('Overactive bladder', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-0736-9199')})
HP:0000012	Synonym('Urinary urgency', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000012	Synonym('Overactive bladder syndrome', scope='RELATED')
HP:0000013	Hypoplasia of the uterus
HP:0000013	Synonym('Hypoplastic uterus', scope='EXACT')
HP:0000013	Synonym('Rudimentary uterus', scope='EXACT')
HP:0000013	Synonym('Underdeveloped uterus', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000013	Synonym('Small uterus', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000014	Abnormality of the bladder
HP:0000015	Bladder diverticulum
HP:0000015	Synonym('Bladder diverticula', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0000016	Urinary retention
HP:0000016	Synonym('Increased post-void residual urine volume', scope='EXACT')
HP:0000017	Nocturia
HP:0000017	Synonym('Nycturia', scope='EXACT', xrefs={Xref('https://orcid.org/0009-0006-4530-3154')})
HP:0000019	Urinary hesitancy
HP:0000019	Synonym('Difficulty with flow', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000020	Urinary incontinence
HP:0000020	Synonym('Loss of bladder control', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000020	Synonym('Bladder incontinence', scope='EXACT')
HP:0000021	Megacystis
HP:0000022	Abnormal male internal genitalia morphology
HP:0000023	Inguinal hernia
HP:0000024	Prostatitis
HP:0000024	Synonym('Inflammation of the prostate', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000025	Functional abnormality of male internal genitalia
HP:0000026	Male hypogonadism
HP:0000026	Synonym('Decreased function of male gonad', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000027	Azoospermia
HP:0000027	Synonym('Absent sperm in semen', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000028	Cryptorchidism
HP:0000028	Synonym('Undescended testes', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000028	Synonym('Cryptorchism', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000028	Synonym('Undescended testis', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000029	Testicular atrophy
HP:0000029	Synonym('Testicular degeneration', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000030	Testicular gonadoblastoma
HP:0000030	Synonym('Gonadoblastoma, male', scope='RELATED')
HP:0000031	Epididymitis
HP:0000032	Abnormal male external genitalia morphology
HP:0000032	Synonym('Abnormality of male external genitalia', scope='EXACT')
HP:0000033	Ambiguous genitalia, male
HP:0000033	Synonym('Ambiguous genitalia in males', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000034	Hydrocele testis
HP:0000034	Synonym('Hydrocele', scope='BROAD')
HP:0000034	Synonym('Testicular hydrocele', scope='EXACT')
HP:0000035	Abnormal testis morphology
HP:0000035	Synonym('Anomaly of the testes', scope='EXACT')
HP:0000035	Synonym('Abnormality of the testis', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000036	Abnormal penis morphology
HP:0000036	Synonym('Abnormality of the penis', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
