,MIM Number,Preferred Title,symbol
0,100050,"AARSKOG SYNDROME, AUTOSOMAL DOMINANT",
1,100070,"AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1", AAA1
2,100100,PRUNE BELLY SYNDROME, PBS
3,100200,ABDUCENS PALSY,
4,100300,ADAMS-OLIVER SYNDROME 1, AOS1
5,100500,CHOREOACANTHOCYTOSIS,
6,100600,ACANTHOSIS NIGRICANS,
7,100640,"ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER A1", ALDH1A1
8,100650,ALDEHYDE DEHYDROGENASE 2 FAMILY, ALDH2
9,100660,"ALDEHYDE DEHYDROGENASE, FAMILY 3, SUBFAMILY A, MEMBER 1", ALDH3A1
10,100670,"ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER B1", ALDH1B1
11,100675,ACETAMINOPHEN METABOLISM,
12,100678,ACETYL-CoA ACETYLTRANSFERASE 2, ACAT2
13,100680,ACETYLCHOLINESTERASE,
14,100690,"CHOLINERGIC RECEPTOR, NICOTINIC, ALPHA POLYPEPTIDE 1", CHRNA1
15,100700,ACHARD SYNDROME,
16,100710,"CHOLINERGIC RECEPTOR, NICOTINIC, BETA POLYPEPTIDE 1", CHRNB1
17,100720,"CHOLINERGIC RECEPTOR, NICOTINIC, DELTA POLYPEPTIDE", CHRND
18,100725,"CHOLINERGIC RECEPTOR, NICOTINIC, EPSILON POLYPEPTIDE", CHRNE
19,100730,"CHOLINERGIC RECEPTOR, NICOTINIC, GAMMA POLYPEPTIDE", CHRNG
20,100735,NEUREGULIN 1,
21,100740,ACETYLCHOLINESTERASE, ACHE
22,100790,ACHAETE-SCUTE FAMILY bHLH TRANSCRIPTION FACTOR 1, ASCL1
23,100800,ACHONDROPLASIA, ACH
24,100820,ACHOO SYNDROME,
25,100850,ACONITASE 2, ACO2
26,100880,ACONITASE 1, ACO1
27,100900,ACONITASE 1,
28,101000,"SCHWANNOMATOSIS, VESTIBULAR", SWNV
29,101120,ACROCEPHALOPOLYSYNDACTYLY TYPE III,
30,101200,APERT SYNDROME,
31,101400,SAETHRE-CHOTZEN SYNDROME, SCS
32,101600,PFEIFFER SYNDROME,
33,101800,ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE, ACRDYS1
34,101805,"ACROFACIAL DYSOSTOSIS, CATANIA TYPE",
35,101840,"ACROKERATODERMA, HEREDITARY PAPULOTRANSLUCENT",
36,101850,"PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III", PPKP3
37,101900,ACROKERATOSIS VERRUCIFORMIS, AKV
38,102000,"ACROLEUKOPATHY, SYMMETRIC",
39,102100,"ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA",
40,102150,ACROMEGALOID FACIAL APPEARANCE SYNDROME,
41,102200,"PITUITARY ADENOMA 1, MULTIPLE TYPES", PITA1
42,102300,"RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1", RLS1
43,102350,ACROMIAL DIMPLES,
44,102370,ACROMICRIC DYSPLASIA, ACMICD
45,102400,ACROOSTEOLYSIS,
46,102480,ACROSIN, ACR
47,102490,DUANE-RADIAL RAY SYNDROME,
48,102500,HAJDU-CHENEY SYNDROME, HJCYS
49,102510,ACROPECTOROVERTEBRAL DYSPLASIA, ACRPV
50,102520,ACRORENAL SYNDROME,
51,102525,ACROSOMAL VESICLE PROTEIN 1, ACRV1
